44.000	26.944
46.400	25.833
43.600	25.556
35.000	23.056
35.000	21.389
32.600	20.000
28.900	18.889
27.700	18.333
25.500	16.389
20.375	13.889
12.500	12.778
37.000	24.583
37.500	23.333
36.500	23.333
36.200	22.500
33.000	18.889
43.000	25.278
46.000	25.833
29.000	20.278
31.700	20.278
31.000	20.000
28.750	18.889
23.500	15.000
32.400	21.111
31.000	20.556
29.500	19.444
22.500	16.250
20.600	14.722
35.000	22.222
33.100	21.667
31.500	20.556
28.800	19.167
21.300	15.556
37.800	23.889
37.000	22.917
37.100	22.500
36.200	21.111
31.400	19.722
30.200	18.889
31.300	20.556
26.100	17.222
25.200	17.222
23.660	16.111
22.250	16.667
17.500	13.611
15.500	12.778
14.750	11.111
15.000	11.667
14.000	10.000
18.500	11.111
27.700	18.333
26.000	17.222
21.700	15.000
12.500	10.417
12.500	9.5833
